nombre,cantidades,info,sabores,imagen,mix,Artículo,Estado,#REF!
"ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 200",1 UNIDAD,"El Aceite de Coco Neutro Entrenuts es un producto versátil, ideal tanto para la cocina como para el cuidado personal, ya que ha sido refinado para eliminar el sabor y el aroma característicos del coco.",,https://drive.google.com/file/d/1DT-EJI0FphtfZMGLOEMrSeYMNeaS2Dbp/view,,2265,🟢 ok,
"ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 360 G",1 UNIDAD,"El Aceite de Coco Neutro Entrenuts es un producto versátil, ideal tanto para la cocina como para el cuidado personal, ya que ha sido refinado para eliminar el sabor y el aroma característicos del coco.",,https://drive.google.com/file/d/152trCrtVnqrqBpTZmgkdRxJtLgjKj0VW/view,,2141,🟢 ok,
"ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 200 g",1 UNIDAD,"El Aceite de Coco Virgen Entrenuts es un producto 100% natural y puro, obtenido mediante prensado en frío para conservar su aroma y sabor característicos a coco. Es apto para personas con celiaquía (Sin TACC) y para dietas veganas.",,https://drive.google.com/file/d/1bIaTu-IwSu3LSvSHplMMRH646c_O-vfl/view,,2142,🟢 ok,
"ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 360 g",1 UNIDAD,"El Aceite de Coco Virgen Entrenuts es un producto 100% natural y puro, obtenido mediante prensado en frío para conservar su aroma y sabor característicos a coco. Es apto para personas con celiaquía (Sin TACC) y para dietas veganas.",,https://drive.google.com/file/d/10RUG87XYxr6t9RrYo6_F7kMzVyukmkJU/view,,2266,🟢 ok,
"ACEITE DE HIBISCUS 30 ml ""SOMOS SETAS""",1 UNIDAD,"El Aceite de Flor de Hibiscus es un extracto natural diseñado para el cuidado de la piel y el bienestar general. Producido en Argentina, este aceite destaca por su alta concentración de antioxidantes y vitaminas. ",,https://drive.google.com/file/d/1QqmV8SVB8Y-2JWnYv3MAMISntptyKs-3/view,,2467,🟢 ok,
"ACEITE DE LINO X 150 cc ""NUTRA SEM""",1 UNIDAD,"El aceite de lino es un suplemento nutricional de alta calidad obtenido mediante prensado en frío, un proceso que garantiza la conservación de sus propiedades naturales, especialmente su alta concentración de Omega 3 (ácido alfa-linolénico).",,https://drive.google.com/file/d/1amltRyv8PKnASe_So-8mp4Y_W4l2A_V0/view,,2386,🟢 ok,
ACEITE DE OLIVA   500 PET VERDE OLIVA ,1 UNIDAD,,,https://drive.google.com/file/d/1gYtu83WZXt-pZgCxGEAdD48KAGt79yvH/view,,2119,🔵 falta descripción,
ACEITE DE OLIVA   900ML VERDE OLIVA,1 UNIDAD,,,https://drive.google.com/file/d/142O5TyjoOb0qFDAkbmnTDanpXRDxa8VN/view,,1894,🔵 falta descripción,
ACEITE DE OLIVA  3 L VERDE OLIVA,1 UNIDAD,,,https://drive.google.com/file/d/1HhWAIhOPpJBly1q13x1tYuENnT8YT2-C/view,,1908,🔵 falta descripción,
ACEITE DE OLIVA  5 L VERDE OLIVA,1 UNIDAD,,,https://drive.google.com/file/d/1-BTYBFcKSUF8WoXp9C4VcHaubtdnR55L/view,,1909,🔵 falta descripción,
ACEITE DE OLIVA  PANNOCCHIA X 500ML,1 UNIDAD,"El aceite de oliva Virgen Extra Pannocchia es un producto artesanal mendocino, elaborado mediante primera prensada en frío. Se destaca por ser un blend de variedades seleccionadas, lo que le otorga un perfil de sabor equilibrado y armónico.",,https://drive.google.com/file/d/1S7OwVBL8FZwjVlnWz7lp92TIoUxcCT0Y/view,,1013,🟢 ok,
ACEITE DE OLIVA  PANNOCCHIA X1L,1 UNIDAD,"El aceite de oliva Virgen Extra Pannocchia es un producto artesanal mendocino, elaborado mediante primera prensada en frío. Se destaca por ser un blend de variedades seleccionadas, lo que le otorga un perfil de sabor equilibrado y armónico.",,https://drive.google.com/file/d/1rwI76CFaX0kpWKAsnFl2qhIFeJ-cfX9B/view,,1011,🟢 ok,
ACEITE DE OLIVA  PANNOCCHIA X5L,1 UNIDAD,"El aceite de oliva Virgen Extra Pannocchia es un producto artesanal mendocino, elaborado mediante primera prensada en frío. Se destaca por ser un blend de variedades seleccionadas, lo que le otorga un perfil de sabor equilibrado y armónico.",,https://drive.google.com/file/d/1KbxYN7XLKm24zzgQf5aZioy-3zdq1rvp/view,,1014,🟢 ok,
ACEITE DE OLIVA  X 500 CC LAUR,1 UNIDAD,"El Aceite de Oliva Laur es producido por la olivícola número uno del mundo según el EVOO World Ranking. Originario de Mendoza, Argentina, se destaca por su alta calidad y pureza.",,https://drive.google.com/file/d/1A2gi-MF5FPGL07b8bam7cjKarlnaRTj4/view,,1002,🟢 ok,
ACEITE DE OLIVA  X1 L VID. LAUR,1 UNIDAD,"El Aceite de Oliva Laur es producido por la olivícola número uno del mundo según el EVOO World Ranking. Originario de Mendoza, Argentina, se destaca por su alta calidad y pureza.",,https://drive.google.com/file/d/18MosSegYZv-so0GIc6eiDLYBvuXj6EDe/view,,1012,🟢 ok,
ACEITE DE OLIVA X  500 CC R.V.,1 UNIDAD,"El Aceite de Oliva Rodrigo de Vivar es un producto de origen mendocino, específicamente de la zona de San Martín. Se destaca por ser un aceite de oliva virgen extra de primera prensada en frío, reconocido por su sabor frutado y equilibrado.",,https://drive.google.com/file/d/1KSYsbt1CWv9vqWtg_sb1PMZ3ZF-IfJTx/view,,1009,🟢 ok,
